filename,match_score
51554903.pdf,13.590469360351562
71422121.pdf,13.573949337005615
28614791.pdf,13.526415824890137
39115899.pdf,13.455619812011719
25561640.pdf,13.427199125289917
43622023.pdf,13.425633907318115
16962067.pdf,13.373535871505737
25935030.pdf,13.274917602539062
79041971.pdf,13.212730884552002
18885767.pdf,13.152681589126587
25128608.pdf,13.106662034988403
29093426.pdf,13.103950023651123
29999135.pdf,12.964365482330322
22615491.pdf,12.92243480682373
34185495.pdf,12.912966012954712
33872500.pdf,12.871952056884766
19911786.pdf,12.863640785217285
65325317.pdf,12.764750719070435
14248724.pdf,12.687184810638428
13173522.pdf,12.447391748428345
19007667.pdf,12.44266152381897
37997506.pdf,12.17117190361023
21297521.pdf,12.157790660858154
30826569.pdf,11.985357999801636
17033567.pdf,11.811710596084595
83206166.pdf,11.742048263549805
36366044.pdf,11.662075519561768
28989677.pdf,11.597193479537964
11773925.pdf,11.595466136932373
50432401.pdf,11.440105438232422
22848179.pdf,11.410000324249268
53265899.pdf,11.3356614112854
34452806.pdf,11.195859909057617
24673903.pdf,11.192574501037598
63137898.pdf,11.169414520263672
27558837.pdf,11.114535331726074
25924968.pdf,11.022911071777344
12777487.pdf,10.917316675186157
39247950.pdf,10.869214534759521
15363277.pdf,10.781168937683105
91268638.pdf,10.715421438217163
68781345.pdf,10.712502002716064
28176889.pdf,10.668246746063232
27909372.pdf,10.56226372718811
17189156.pdf,10.533380508422852
20082776.pdf,10.335640907287598
27831220.pdf,10.259507894515991
15553584.pdf,10.20810842514038
12413512.pdf,10.062087774276733
25462793.pdf,9.958159923553467
20624984.pdf,9.938949346542358
23139819.pdf,9.74015474319458
35564026.pdf,9.701735377311707
31602598.pdf,9.69957172870636
11065180.pdf,9.54102635383606
37220856.pdf,9.465962052345276
21853199.pdf,9.411656260490417
21611637.pdf,9.40236508846283
13393401.pdf,9.379720091819763
13264154.pdf,9.327105283737183
18036030.pdf,9.30359661579132
25547145.pdf,9.261745810508728
10276858.pdf,9.260343313217163
31025785.pdf,9.257681369781494
23734441.pdf,9.160009622573853
34304175.pdf,9.145521521568298
19545827.pdf,9.109013676643372
19671909.pdf,9.069918394088745
16407619.pdf,8.988028168678284
23591247.pdf,8.829649686813354
27936502.pdf,8.793925642967224
94047639.pdf,8.681955337524414
18824120.pdf,8.67117166519165
37751611.pdf,8.66956353187561
30337969.pdf,8.664592504501343
18208580.pdf,8.647141456604004
18132924.pdf,8.596502542495728
14055988.pdf,8.532982468605042
22465498.pdf,8.521973490715027
29211359.pdf,8.506693840026855
12338274.pdf,8.506220579147339
10554236.pdf,8.1646728515625
16244633.pdf,8.019846677780151
50222417.pdf,7.986520528793335
25157655.pdf,7.905746698379517
19268120.pdf,7.7126145362854
64589506.pdf,7.55540132522583
29449419.pdf,7.469736933708191
17306905.pdf,7.273626923561096
10588874.pdf,7.273510694503784
21101152.pdf,7.162930965423584
74522938.pdf,7.110825777053833
18480859.pdf,6.98448121547699
23139437.pdf,6.923691034317017
38897568.pdf,6.842292547225952
32518109.pdf,6.676653027534485
10001727.pdf,6.417035460472107
19951766.pdf,6.214855909347534
14449423.pdf,6.155229806900024
24817041.pdf,6.011882424354553
23032276.pdf,5.853782892227173
26718039.pdf,5.79445481300354
12202337.pdf,5.753639340400696
31273413.pdf,5.6755530834198
18457785.pdf,5.641818642616272
23636277.pdf,5.495924353599548
27820360.pdf,5.3888022899627686
34146825.pdf,5.257588028907776
26975573.pdf,5.140022039413452
35492909.pdf,5.02094566822052
25162378.pdf,4.954749047756195
25200253.pdf,4.816949963569641
14224370.pdf,4.8006269335746765
21763056.pdf,4.7848862409591675
14569498.pdf,4.63604211807251
35157762.pdf,4.59307998418808
11637468.pdf,4.477912783622742
14496667.pdf,4.317760467529297
23323001.pdf,4.208791255950928
23438112.pdf,3.8023316860198975
34252537.pdf,3.6803868412971497
17104033_Manisha_Rathore - MANISHA RATHORE.pdf,3.6441770195961
15906625.pdf,2.8590956330299377
10653119.pdf,2.72678405046463
23398733.pdf,2.2510112822055817
18029935.pdf,2.242116630077362
26579709.pdf,1.980927437543869
20033302.pdf,1.8873104453086853
25452321.pdf,1.4046414196491241
23568731.pdf,1.3866129517555237
24983760.pdf,1.2387368083000183
13212436.pdf,1.2179078161716461
33527446.pdf,1.2005531787872314
21867728.pdf,1.0128775238990784
61322296.pdf,1.0084573179483414
28419927.pdf,0.8798344433307648
22561438.pdf,0.6948098540306091
11209758.pdf,0.4579344391822815
34816637.pdf,0.38799986243247986
21338490.pdf,0.310344435274601
17131084.pdf,-0.20287735387682915
36905896.pdf,-0.22847246378660202
23513618.pdf,-0.8602950721979141
19149865.pdf,-1.324581801891327
20393721.pdf,-1.3514256477355957
27980446.pdf,-1.40451118350029
12780508.pdf,-1.486339420080185
22349169.pdf,-1.679624319076538
17103297_Mohit_Jain - Mohit Jain.pdf,-1.7463919520378113
14491649.pdf,-1.952388733625412
28298773.pdf,-2.179485559463501
24709432.pdf,-2.2982043027877808
19176318.pdf,-2.3055346310138702
37370455.pdf,-2.723085880279541
12802330.pdf,-4.305231273174286
28359817.pdf,-4.488973021507263
